abide,5
absent,6
abused,6
abuse,5
accent,6
accept,6
accord,6
accuse,6
adapt,5
addict,6
add,3
admit,5
advise,6
affect,6
afford,6
age,3
aging,5
agree,5
aid,3
aim,3
air,3
align,5
alloy,5
ally,4
alter,5
amazed,6
ambush,6
anchor,6
angle,5
annex,5
answer,6
apply,5
arc,3
are,3
argued,6
argue,5
arise,5
arm,3
arose,5
art,3
ask,3
assign,6
assist,6
ate,3
attach,6
attack,6
attend,6
audit,5
author,6
avail,5
awake,5
baby,4
bach,4
bad,3
bag,3
bail,4
baked,5
baking,6
bale,4
ballot,6
ball,4
band,4
bang,4
bank,4
banned,6
ban,3
bare,4
barred,6
barrel,6
bar,3
based,5
batch,5
bath,4
batter,6
bat,3
beach,5
beacon,6
beam,4
bean,4
bear,4
beat,4
became,6
become,6
bed,3
been,4
began,5
begged,6
begin,5
begun,5
beg,3
behold,6
belly,5
bell,4
bend,4
berry,5
better,6
bet,3
beware,6
bias,4
bid,3
bike,4
bind,4
bin,3
bitch,5
bite,4
bitter,6
bit,3
black,5
blast,5
blaze,5
bleach,6
bleed,5
blend,5
bless,5
blew,4
blind,5
blink,5
block,5
bloody,6
blown,5
blow,4
bluff,5
blur,4
board,5
bob,3
bodies,6
body,4
boil,4
bomb,4
bond,4
bone,4
bong,4
boogie,6
book,4
boom,4
boot,4
booze,5
boo,3
bored,5
bore,4
borne,5
born,4
borrow,6
boss,4
bot,3
bought,6
bound,5
bowl,4
bow,3
brace,5
brake,5
break,5
bred,4
breed,5
brew,4
bribe,5
bridge,6
bring,5
broken,6
broke,5
bronze,6
brown,5
browse,6
bubble,6
buckle,6
bud,3
buffet,6
buff,4
bug,3
build,5
built,5
bulk,4
bully,5
bump,4
bum,3
bunch,5
buried,6
burnt,5
burn,4
burst,5
bury,4
bush,4
bust,4
busy,4
bus,3
button,6
butt,4
buying,6
buy,3
bypass,6
cabin,5
cable,5
call,4
calm,4
came,4
canal,5
cancel,6
candy,5
cannon,6
cannot,6
canoe,5
canopy,6
canton,6
can,3
capped,6
cap,3
cared,5
care,4
caring,6
carol,5
carry,5
cart,4
carved,6
castle,6
cast,4
catch,5
cat,3
caught,6
caused,6
ceased,6
cease,5
center,6
centre,6
chain,5
chalk,5
champ,5
change,6
chant,5
chap,4
charge,6
charm,5
chased,6
chase,5
chat,4
cheat,5
check,5
cheer,5
cheese,6
chevy,5
chew,4
chin,4
chip,4
choked,6
choose,6
chop,4
chorus,6
chosen,6
chose,5
chrome,6
chuck,5
clad,4
claim,5
clap,4
clash,5
class,5
claw,4
clean,5
clear,5
click,5
climax,6
climb,5
clip,4
closer,6
close,5
cloud,5
club,4
clue,4
coach,5
coal,4
coast,5
coded,5
coding,6
cod,3
coil,4
coke,4
color,5
combat,6
comb,4
come,4
commit,6
comply,6
cone,4
cons,4
con,3
cook,4
cool,4
copy,4
cop,3
cost,4
could,5
count,5
coup,4
court,5
cover,5
cox,3
crab,4
crack,5
crap,4
crash,5
crater,6
creep,5
crew,4
cried,5
cries,5
crisp,5
crop,4
cross,5
crunch,6
crush,5
crust,5
cry,3
cube,4
cue,3
cup,3
cured,5
curry,5
curse,5
curved,6
curve,5
cut,3
dam,3
danced,6
dared,5
dark,4
darn,4
dart,4
dash,4
dating,6
dealt,5
deal,4
debate,6
decay,5
decide,6
decree,6
defect,6
defend,6
demise,6
dent,4
deny,4
den,3
depart,6
deploy,6
derive,6
design,6
devil,5
dial,4
dice,4
did,3
dies,4
diet,4
die,3
digest,6
dig,3
dim,3
ding,4
dining,6
din,3
dipped,6
dip,3
direct,6
dirty,5
disc,4
ditch,5
dive,4
divide,6
divine,6
dock,4
dodge,5
does,4
dog,3
dolly,5
donate,6
done,4
don,3
dot,3
double,6
dove,4
dow,3
draft,5
drag,4
drank,5
draw,4
dream,5
dress,5
drew,4
dried,5
drift,5
drill,5
drink,5
drip,4
driven,6
drive,5
drop,4
drove,5
drown,5
drug,4
drum,4
dryer,5
dry,3
dubbed,6
dub,3
duck,4
duel,4
dug,3
dull,4
dummy,5
dump,4
dunk,4
dwarf,5
dwell,5
dye,3
dying,5
earn,4
ease,4
easy,4
eaten,5
eat,3
echo,4
edged,5
elbow,5
empty,5
endure,6
engage,6
enter,5
envy,4
equal,5
equip,5
erase,5
erect,5
escape,6
escort,6
evolve,6
exceed,6
excel,5
excuse,6
exile,5
expand,6
export,6
extend,6
eye,3
faced,5
face,4
faded,5
fade,4
fail,4
fallen,6
fall,4
famed,5
fan,3
fault,5
fear,4
fed,3
feed,4
feel,4
fee,3
fell,4
felt,4
ferry,5
fetch,5
fight,5
figure,6
fig,3
filed,5
file,4
filing,6
fill,4
film,4
filter,6
find,4
fined,5
finest,6
finish,6
fired,5
fire,4
firm,4
fixing,6
fix,3
flag,4
flame,5
flank,5
flare,5
flash,5
flat,4
flaw,4
fled,4
flee,4
flew,4
flex,4
flip,4
float,5
flood,5
floor,5
flop,4
flown,5
flow,4
flush,5
flute,5
flux,4
fly,3
foam,4
focus,5
fog,3
fold,4
follow,6
foot,4
forbid,6
forged,6
forget,6
forgot,6
format,6
form,4
fought,6
foul,4
found,5
framed,6
frame,5
frank,5
freak,5
freeze,6
free,4
fresh,5
fried,5
fries,5
frog,4
front,5
frost,5
frozen,6
fruit,5
fry,3
fuck,4
fueled,6
fuel,4
fulfil,6
full,4
funk,4
fun,3
fur,3
fuse,4
gag,3
gang,4
gap,3
garden,6
gas,3
gather,6
gave,4
gee,3
gel,3
gem,3
get,3
ghost,5
gig,3
gill,4
gimme,5
gin,3
given,5
give,4
giving,6
globe,5
glory,5
glue,4
goes,4
gone,4
gonna,5
gotta,5
gotten,6
got,3
govern,6
grab,4
grain,5
grasp,5
grass,5
gravel,6
grave,5
gray,4
grease,6
green,5
grew,4
grey,4
grill,5
grind,5
grin,4
grip,4
gross,5
ground,6
group,5
grow,4
guard,5
guess,5
guided,6
guide,5
gum,3
guns,4
gun,3
hack,4
had,3
hail,4
halo,4
halt,4
hammer,6
ham,3
handle,6
hang,4
harden,6
harry,5
hassle,6
has,3
hatch,5
hated,5
hate,4
hath,4
hating,6
hat,3
haul,4
haunt,5
have,4
havoc,5
hawk,4
hay,3
heal,4
heap,4
heard,5
heart,5
hear,4
heat,4
hector,6
heel,4
held,4
helped,6
help,4
herd,4
hidden,6
hide,4
hid,3
hiking,6
hint,4
hired,5
hiring,6
hit,3
hive,4
hog,3
holden,6
hold,4
hole,4
hollow,6
homage,6
honey,5
honor,5
hook,4
hoped,5
hoping,6
hop,3
hose,4
host,4
housed,6
house,5
hug,3
hull,4
hum,3
hunger,6
hung,4
hunt,4
hurry,5
hurt,4
hustle,6
hut,3
hymn,4
ice,3
idle,4
impact,6
imply,5
import,6
impose,6
inch,4
insert,6
insist,6
insult,6
intend,6
intern,6
inter,5
invade,6
invent,6
invest,6
invite,6
iron,4
issued,6
item,4
jade,4
jam,3
japan,5
jar,3
jelly,5
jerk,4
jet,3
jewel,5
jimmy,5
job,3
join,4
joking,6
josh,4
judged,6
judge,5
keen,4
keep,4
kent,4
ken,3
kept,4
kernel,6
kid,3
kill,4
kindle,6
kite,4
kitten,6
knee,4
knew,4
knit,4
knot,4
known,5
know,4
label,5
labor,5
lace,4
lack,4
ladder,6
lag,3
laid,4
land,4
lap,3
last,4
launch,6
laurel,6
layer,5
lay,3
lead,4
leaf,4
league,6
leak,4
lean,4
leap,4
learnt,6
learn,5
leased,6
leave,5
led,3
left,4
leg,3
lend,4
lent,4
letter,6
let,3
level,5
lever,5
levy,4
lie,3
lift,4
light,5
liked,5
lined,5
link,4
lip,3
liquor,6
list,4
litter,6
lit,3
lived,5
live,4
load,4
loan,4
lobby,5
lock,4
lodge,5
logged,6
log,3
look,4
loop,4
lose,4
lot,3
loved,5
low,3
lush,4
lying,5
madden,6
made,4
mad,3
make,4
manage,6
man,3
mapped,6
map,3
marcel,6
market,6
mark,4
marry,5
marvel,6
mar,3
mask,4
mass,4
match,5
mate,4
mating,6
matt,4
mature,6
mat,3
may,3
maze,4
meant,5
mean,4
medal,5
meet,4
melt,4
menace,6
merged,6
merge,5
mesh,4
metal,5
met,3
might,5
milk,4
mill,4
mind,4
mine,4
mint,4
miss,4
mister,6
mist,4
mixing,6
mob,3
mock,4
model,5
modify,6
mold,4
moon,4
motion,6
mound,5
mount,5
mouse,5
mouth,5
moved,5
move,4
muddy,5
mud,3
mug,3
mum,3
murder,6
muse,4
must,4
mute,4
named,5
naming,6
nap,3
narrow,6
near,4
need,4
net,3
nickel,6
nod,3
notice,6
notify,6
noting,6
number,6
nurse,5
nut,3
obey,4
occupy,6
occur,5
offend,6
offer,5
open,4
opt,3
orbit,5
ought,5
outfit,6
owed,4
owe,3
owing,5
paced,5
pack,4
pad,3
paid,4
paint,5
pair,4
pale,4
pal,3
panel,5
panic,5
pan,3
paper,5
parade,6
parcel,6
park,4
parody,6
part,4
pass,4
patrol,6
pat,3
pay,3
pearl,5
pedal,5
pee,3
pencil,6
pen,3
pep,3
permit,6
pet,3
phone,5
pick,4
picnic,6
pierce,6
pig,3
pile,4
pill,4
pinch,5
pinned,6
pin,3
pipe,4
pistol,6
pitch,5
pity,4
pit,3
placed,6
place,5
plague,6
plain,5
plan,4
play,4
plead,5
please,6
pledge,6
plot,4
plug,4
pod,3
point,5
polish,6
poll,4
poop,4
pop,3
port,4
posed,5
pose,4
posing,6
pot,3
pound,5
pour,4
powder,6
pray,4
preach,6
prefer,6
press,5
priced,6
prick,5
prime,5
print,5
prize,5
profit,6
prop,4
prose,5
proven,6
prove,5
pub,3
puff,4
pull,4
pulp,4
pump,4
punch,5
punish,6
pun,3
pup,3
pursue,6
push,4
put,3
puzzle,6
quarry,6
queen,5
query,5
quest,5
queue,5
quiet,5
quit,4
quiz,4
quoted,6
quote,5
raced,5
race,4
radio,5
raging,6
rag,3
raid,4
raised,6
raise,5
rally,5
ram,3
ranged,6
range,5
rang,4
rant,4
ran,3
raped,5
rape,4
raping,6
rap,3
rated,5
rate,4
rat,3
raven,5
rave,4
ray,3
read,4
reap,4
reason,6
rebel,5
recess,6
reckon,6
record,6
reduce,6
red,3
reef,4
reel,4
refer,5
refuge,6
refund,6
regard,6
regret,6
reject,6
relax,5
relay,5
rely,4
remain,6
remake,6
remark,6
remix,5
remove,6
renew,5
rent,4
repay,5
repeat,6
replay,6
reply,5
report,6
rescue,6
reset,5
resign,6
resist,6
rest,4
resume,6
retail,6
retire,6
review,6
revive,6
rev,3
rhyme,5
rib,3
ridden,6
ride,4
ridge,5
rid,3
rift,4
rigged,6
right,5
rig,3
rim,3
ring,4
ripped,6
rip,3
risen,5
rise,4
rival,5
roar,4
roast,5
robbed,6
robe,4
rob,3
rock,4
rode,4
roger,5
roll,4
rose,4
rotate,6
rot,3
round,5
row,3
rubbed,6
rub,3
rue,3
ruled,5
rule,4
run,3
rush,4
rust,4
saddle,6
said,4
sail,4
salary,6
sally,5
sang,4
sank,4
sap,3
sat,3
saved,5
savvy,5
saw,3
say,3
scaled,6
scale,5
scan,4
scared,6
scare,5
scar,4
scoop,5
scored,6
score,5
scout,5
scrap,5
scream,6
scrub,5
scum,4
sealed,6
seals,5
search,6
seed,4
seek,4
seem,4
seen,4
see,3
seized,6
seize,5
select,6
sell,4
send,4
sent,4
served,6
serve,5
set,3
shade,5
shaft,5
shaken,6
shake,5
shall,5
shaped,6
shape,5
shark,5
shaved,6
shave,5
sheer,5
shell,5
shift,5
shine,5
shin,4
ship,4
shit,4
shock,5
shoe,4
shook,5
shoot,5
shop,4
shore,5
short,5
shot,4
should,6
shout,5
shovel,6
shove,5
showed,6
shown,5
show,4
shrine,6
shrink,6
shut,4
shy,3
sick,4
sic,3
sided,5
signal,6
sign,4
sing,4
sink,4
sip,3
sit,3
size,4
sketch,6
skin,4
skip,4
ski,3
sky,3
slack,5
slain,5
slam,4
slang,5
slap,4
sleep,5
slept,5
sliced,6
slice,5
slide,5
slid,4
slim,4
slip,4
slope,5
slot,4
slow,4
smart,5
smash,5
smell,5
smiled,6
smoked,6
smooth,6
snap,4
soak,4
sober,5
sock,4
soil,4
sold,4
sought,6
sound,5
sour,4
span,4
spared,6
spark,5
speak,5
spear,5
speed,5
spell,5
spend,5
spent,5
spill,5
spin,4
spiral,6
spit,4
splash,6
split,5
spoil,5
spoken,6
spoke,5
spot,4
spouse,6
spray,5
spread,6
spring,6
spun,4
spur,4
spying,6
spy,3
square,6
squash,6
stable,6
stab,4
staff,5
staged,6
stain,5
stall,5
stamp,5
stand,5
stared,6
start,5
starve,6
star,4
stayed,6
steady,6
steal,5
steam,5
steep,5
steer,5
stem,4
step,4
stick,5
still,5
sting,5
stint,5
stir,4
stitch,6
stoke,5
stolen,6
stole,5
stone,5
stood,5
stop,4
stored,6
storm,5
story,5
stove,5
strain,6
strand,6
strap,5
stream,6
strike,6
string,6
strip,5
strive,6
stroll,6
struck,6
stuck,5
study,5
stud,4
stuff,5
styled,6
style,5
submit,6
sub,3
suck,4
sued,4
sue,3
suffer,6
suing,5
suit,4
summed,6
sum,3
sung,4
sunk,4
sun,3
supply,6
sup,3
survey,6
swamp,5
swan,4
swap,4
sway,4
swear,5
sweat,5
sweep,5
swell,5
swept,5
swim,4
swing,5
swipe,5
switch,6
swore,5
sworn,5
symbol,6
sync,4
tab,3
tagged,6
tag,3
tailor,6
tail,4
taken,5
take,4
tally,5
tango,5
tan,3
tape,4
tapped,6
tap,3
tar,3
tasted,6
taste,5
tattoo,6
taught,6
taxi,4
teach,5
team,4
tear,4
tease,5
ted,3
tee,3
tell,4
tend,4
tense,5
tent,4
test,4
think,5
threat,6
threw,5
thrill,6
throne,6
thrown,6
throw,5
thrust,6
tick,4
tidy,4
tier,4
tie,3
till,4
tilt,4
timed,5
tipped,6
tip,3
tired,5
tire,4
toast,5
told,4
toll,4
took,4
tool,4
tooth,5
topped,6
tore,4
torn,4
tour,4
traced,6
track,5
trail,5
trash,5
travel,6
tread,5
trench,6
trick,5
tried,5
tries,5
triple,6
troll,5
truck,5
trump,5
tug,3
tune,4
turn,4
tutor,5
twist,5
twitch,6
tying,5
typed,5
type,4
typing,6
undo,4
unite,5
update,6
upheld,6
uphold,6
upset,5
urged,5
urging,6
use,3
using,5
utter,5
vacuum,6
vary,4
vault,5
vent,4
verify,6
verse,5
visit,5
void,4
vomit,5
voted,5
vote,4
voting,6
voyage,6
wade,4
wait,4
wander,6
wanna,5
ware,4
warm,4
warn,4
warp,4
war,3
wash,4
wasted,6
was,3
watch,5
waved,5
wave,4
waving,6
wear,4
weed,4
well,4
went,4
were,4
wheel,5
whip,4
white,5
will,4
wind,4
wing,4
win,3
wire,4
wise,4
wish,4
wit,3
woke,4
wonder,6
wont,4
won,3
woo,3
wore,4
worm,4
worn,4
would,5
wound,5
woven,5
wrap,4
wreck,5
write,5
wrote,5
yellow,6
yell,4
yield,5
zoom,4
